iter	Passed	Remaining
0	162	162830
1	179	89372
2	193	64340
3	206	51484
4	219	43662
5	232	38521
6	246	34964
7	259	32203
8	272	30041
9	287	28429
10	302	27208
11	318	26195
12	330	25091
13	342	24139
14	356	23411
15	370	22765
16	382	22131
17	394	21519
18	410	21214
19	426	20912
20	439	20504
21	453	20179
22	468	19889
23	481	19583
24	494	19296
25	506	18970
26	521	18784
27	535	18591
28	549	18400
29	565	18286
30	580	18146
31	596	18051
32	612	17934
33	631	17930
34	646	17813
35	664	17785
36	681	17738
37	698	17691
38	716	17660
39	746	17905
40	773	18086
41	795	18134
42	822	18299
43	845	18371
44	867	18415
45	897	18604
46	916	18589
47	932	18499
48	948	18411
49	963	18310
50	978	18209
51	997	18182
52	1013	18102
53	1028	18022
54	1044	17939
55	1060	17880
56	1077	17825
57	1099	17850
58	1124	17941
59	1143	17911
60	1159	17841
61	1172	17740
62	1184	17624
63	1203	17601
64	1233	17738
65	1270	17976
66	1298	18085
67	1319	18086
68	1344	18139
69	1365	18141
70	1386	18136
71	1406	18128
72	1429	18153
73	1451	18157
74	1471	18151
75	1499	18233
76	1532	18370
77	1577	18643
78	1600	18664
79	1616	18592
80	1632	18523
81	1654	18523
82	1679	18559
83	1709	18644
84	1737	18708
85	1775	18873
86	1801	18902
87	1826	18926
88	1849	18932
89	1863	18841
90	1876	18747
91	1890	18662
92	1901	18545
93	1913	18438
94	1922	18315
95	1934	18213
96	1944	18102
97	1954	17990
98	1963	17868
99	1971	17745
100	1980	17632
101	1989	17515
102	1997	17393
103	2006	17288
104	2014	17169
105	2022	17060
106	2029	16938
107	2037	16831
108	2045	16716
109	2053	16615
110	2060	16501
111	2068	16397
112	2074	16285
113	2081	16173
114	2088	16070
115	2095	15968
116	2108	15910
117	2116	15817
118	2123	15718
119	2129	15616
120	2136	15521
121	2143	15426
122	2150	15332
123	2156	15234
124	2162	15135
125	2170	15058
126	2177	14970
127	2184	14882
128	2190	14793
129	2197	14703
130	2204	14621
131	2209	14530
132	2216	14451
133	2223	14369
134	2229	14288
135	2235	14205
136	2241	14122
137	2249	14051
138	2255	13972
139	2261	13890
140	2267	13816
141	2273	13739
142	2280	13666
143	2286	13591
144	2291	13513
145	2298	13447
146	2304	13375
147	2311	13307
148	2317	13235
149	2323	13164
150	2329	13098
151	2335	13031
152	2342	12965
153	2348	12900
154	2354	12837
155	2361	12773
156	2366	12706
157	2372	12640
158	2378	12579
159	2384	12516
160	2389	12454
161	2397	12400
162	2403	12340
163	2409	12283
164	2415	12223
165	2421	12166
166	2428	12113
167	2434	12057
168	2441	12005
169	2447	11951
170	2453	11895
171	2460	11844
172	2467	11793
173	2473	11741
174	2479	11690
175	2486	11640
176	2493	11596
177	2500	11545
178	2506	11496
179	2511	11443
180	2517	11390
181	2524	11345
182	2530	11297
183	2535	11245
184	2544	11210
185	2550	11162
186	2559	11128
187	2565	11081
188	2573	11042
189	2579	10995
190	2586	10953
191	2592	10911
192	2599	10867
193	2607	10833
194	2616	10801
195	2624	10764
196	2629	10719
197	2640	10695
198	2647	10655
199	2654	10618
200	2662	10583
201	2670	10548
202	2676	10507
203	2683	10471
204	2690	10435
205	2697	10398
206	2705	10365
207	2712	10328
208	2722	10302
209	2734	10287
210	2741	10250
211	2749	10219
212	2756	10185
213	2764	10152
214	2772	10121
215	2779	10086
216	2788	10061
217	2795	10026
218	2803	9996
219	2810	9965
220	2820	9941
221	2827	9907
222	2834	9877
223	2841	9843
224	2849	9813
225	2857	9784
226	2864	9753
227	2870	9720
228	2877	9688
229	2883	9654
230	2890	9622
231	2897	9591
232	2904	9560
233	2912	9533
234	2919	9502
235	2928	9478
236	2935	9450
237	2942	9419
238	2949	9391
239	2956	9362
240	2964	9336
241	2970	9305
242	2979	9282
243	2989	9262
244	2998	9238
245	3005	9210
246	3014	9188
247	3020	9158
248	3029	9138
249	3037	9111
250	3043	9083
251	3050	9055
252	3061	9039
253	3069	9015
254	3077	8990
255	3083	8962
256	3091	8937
257	3098	8909
258	3106	8886
259	3112	8857
260	3119	8831
261	3126	8805
262	3132	8779
263	3139	8753
264	3146	8727
265	3152	8700
266	3159	8673
267	3165	8644
268	3172	8621
269	3179	8596
270	3185	8570
271	3193	8546
272	3199	8520
273	3207	8499
274	3213	8472
275	3222	8453
276	3228	8427
277	3235	8403
278	3242	8378
279	3247	8351
280	3256	8332
281	3263	8308
282	3270	8286
283	3281	8271
284	3289	8251
285	3297	8231
286	3305	8212
287	3313	8190
288	3320	8168
289	3332	8158
290	3345	8151
291	3395	8232
292	3417	8246
293	3438	8257
294	3451	8247
295	3464	8238
296	3471	8218
297	3478	8194
298	3486	8174
299	3493	8151
300	3500	8129
301	3507	8106
302	3515	8087
303	3522	8064
304	3528	8040
305	3537	8021
306	3543	7999
307	3552	7981
308	3558	7957
309	3565	7936
310	3572	7914
311	3579	7892
312	3585	7870
313	3591	7847
314	3599	7827
315	3606	7805
316	3613	7785
317	3619	7763
318	3625	7740
319	3633	7720
320	3639	7698
321	3647	7679
322	3653	7657
323	3661	7639
324	3669	7622
325	3677	7602
326	3683	7581
327	3690	7560
328	3697	7540
329	3703	7518
330	3711	7502
331	3717	7480
332	3723	7459
333	3730	7437
334	3735	7415
335	3743	7397
336	3749	7376
337	3755	7355
338	3763	7338
339	3768	7315
340	3776	7298
